timestamp,raw_value
2025-10-15T09:47:56.616172,-142
2025-10-15T09:47:56.616794,0
2025-10-15T09:47:56.617439,10
2025-10-15T09:47:56.618369,86
2025-10-15T09:47:56.619775,294
2025-10-15T09:47:56.620477,312
2025-10-15T09:47:56.621172,58
2025-10-15T09:47:56.622081,5
2025-10-15T09:47:56.623062,91
2025-10-15T09:47:56.624050,60
2025-10-15T09:47:56.625050,-17
2025-10-15T09:47:56.655189,-10
2025-10-15T09:47:56.656604,-163
2025-10-15T09:47:56.657346,-145
2025-10-15T09:47:56.658072,-25
2025-10-15T09:47:56.658715,-81
2025-10-15T09:47:56.659388,-17
2025-10-15T09:47:56.660007,241
2025-10-15T09:47:56.660576,363
2025-10-15T09:47:56.661254,224
2025-10-15T09:47:56.661964,155
2025-10-15T09:47:56.662569,91
2025-10-15T09:47:56.663178,-37
2025-10-15T09:47:56.663853,-9
2025-10-15T09:47:56.664497,146
2025-10-15T09:47:56.665124,100
2025-10-15T09:47:56.665754,-11
2025-10-15T09:47:56.666368,24
2025-10-15T09:47:56.666860,-11
2025-10-15T09:47:56.684463,-141
2025-10-15T09:47:56.684954,-19
2025-10-15T09:47:56.685460,-61
2025-10-15T09:47:56.685845,-54
2025-10-15T09:47:56.686217,91
2025-10-15T09:47:56.686641,98
2025-10-15T09:47:56.686991,2
2025-10-15T09:47:56.687348,86
2025-10-15T09:47:56.687722,118
2025-10-15T09:47:56.688223,-11
2025-10-15T09:47:56.688908,42
2025-10-15T09:47:56.689486,313
2025-10-15T09:47:56.689985,257
2025-10-15T09:47:56.690503,57
2025-10-15T09:47:56.690928,83
2025-10-15T09:47:56.691362,179
2025-10-15T09:47:56.691780,86
2025-10-15T09:47:56.692209,122
2025-10-15T09:47:56.692610,185
2025-10-15T09:47:56.729527,-130
2025-10-15T09:47:56.729970,-72
2025-10-15T09:47:56.730311,-107
2025-10-15T09:47:56.730700,-182
2025-10-15T09:47:56.731040,-66
2025-10-15T09:47:56.731377,197
2025-10-15T09:47:56.731744,298
2025-10-15T09:47:56.732076,376
2025-10-15T09:47:56.732419,360
2025-10-15T09:47:56.732779,130
2025-10-15T09:47:56.733089,-100
2025-10-15T09:47:56.733454,3
2025-10-15T09:47:56.733843,93
2025-10-15T09:47:56.734178,-17
2025-10-15T09:47:56.734504,-19
2025-10-15T09:47:56.734884,116
2025-10-15T09:47:56.735263,33
2025-10-15T09:47:56.735774,-66
2025-10-15T09:47:56.736200,16
2025-10-15T09:47:56.760075,11
2025-10-15T09:47:56.760920,-135
2025-10-15T09:47:56.761729,-60
2025-10-15T09:47:56.762665,86
2025-10-15T09:47:56.763503,13
2025-10-15T09:47:56.764242,-9
2025-10-15T09:47:56.765034,115
2025-10-15T09:47:56.765842,74
2025-10-15T09:47:56.766620,-70
2025-10-15T09:47:56.767300,87
2025-10-15T09:47:56.768332,291
2025-10-15T09:47:56.769058,224
2025-10-15T09:47:56.769763,132
2025-10-15T09:47:56.770649,171
2025-10-15T09:47:56.771510,58
2025-10-15T09:47:56.772358,29
2025-10-15T09:47:56.773178,195
2025-10-15T09:47:56.774288,248
2025-10-15T09:47:56.775190,39
2025-10-15T09:47:56.805623,5
2025-10-15T09:47:56.807170,-97
2025-10-15T09:47:56.808006,-183
2025-10-15T09:47:56.808852,-18
2025-10-15T09:47:56.809593,32
2025-10-15T09:47:56.810400,104
2025-10-15T09:47:56.811194,386
2025-10-15T09:47:56.811772,506
2025-10-15T09:47:56.812342,215
2025-10-15T09:47:56.813226,76
2025-10-15T09:47:56.814124,137
2025-10-15T09:47:56.814804,67
2025-10-15T09:47:56.815538,-73
2025-10-15T09:47:56.816271,22
2025-10-15T09:47:56.817098,19
2025-10-15T09:47:56.817802,-126
2025-10-15T09:47:56.818570,-60
2025-10-15T09:47:56.819422,160
2025-10-15T09:47:56.820087,91
2025-10-15T09:47:56.850301,153
2025-10-15T09:47:56.851055,131
2025-10-15T09:47:56.851783,-118
2025-10-15T09:47:56.852497,-118
2025-10-15T09:47:56.853079,-21
2025-10-15T09:47:56.853964,-138
2025-10-15T09:47:56.854734,-115
2025-10-15T09:47:56.855681,160
2025-10-15T09:47:56.856567,292
2025-10-15T09:47:56.857402,325
2025-10-15T09:47:56.858110,471
2025-10-15T09:47:56.858739,314
2025-10-15T09:47:56.859390,-74
2025-10-15T09:47:56.860148,-145
2025-10-15T09:47:56.861084,77
2025-10-15T09:47:56.862010,-3
2025-10-15T09:47:56.863375,-75
2025-10-15T09:47:56.864482,92
2025-10-15T09:47:56.865302,154
2025-10-15T09:47:56.880593,19
2025-10-15T09:47:56.881554,162
2025-10-15T09:47:56.882475,-19
2025-10-15T09:47:56.883084,-203
2025-10-15T09:47:56.883946,-37
2025-10-15T09:47:56.884658,-123
2025-10-15T09:47:56.885360,-330
2025-10-15T09:47:56.886152,-178
2025-10-15T09:47:56.886842,87
2025-10-15T09:47:56.887582,-25
2025-10-15T09:47:56.888604,117
2025-10-15T09:47:56.889415,474
2025-10-15T09:47:56.890183,427
2025-10-15T09:47:56.890933,53
2025-10-15T09:47:56.891675,22
2025-10-15T09:47:56.892341,-203
2025-10-15T09:47:56.893055,-762
2025-10-15T09:47:56.893980,-1485
2025-10-15T09:47:56.925231,-2048
2025-10-15T09:47:56.926145,-2048
2025-10-15T09:47:56.926861,2047
2025-10-15T09:47:56.927547,2047
2025-10-15T09:47:56.928124,2047
2025-10-15T09:47:56.928901,-550
2025-10-15T09:47:56.929563,-2048
2025-10-15T09:47:56.930238,-2048
2025-10-15T09:47:56.930835,-2048
2025-10-15T09:47:56.931476,-661
2025-10-15T09:47:56.932175,1956
2025-10-15T09:47:56.932910,2047
2025-10-15T09:47:56.933734,2047
2025-10-15T09:47:56.934578,2047
2025-10-15T09:47:56.935475,1845
2025-10-15T09:47:56.936368,377
2025-10-15T09:47:56.937105,-628
2025-10-15T09:47:56.937893,-2048
2025-10-15T09:47:56.939163,-2048
2025-10-15T09:47:56.955789,1306
2025-10-15T09:47:56.956887,1785
2025-10-15T09:47:56.957752,1962
2025-10-15T09:47:56.958502,1812
2025-10-15T09:47:56.959152,312
2025-10-15T09:47:56.959852,-1301
2025-10-15T09:47:56.960531,-855
2025-10-15T09:47:56.961124,-1021
2025-10-15T09:47:56.961705,-1884
2025-10-15T09:47:56.962358,-873
2025-10-15T09:47:56.963051,1323
2025-10-15T09:47:56.964207,1404
2025-10-15T09:47:56.964930,988
2025-10-15T09:47:56.965799,1005
2025-10-15T09:47:56.966544,57
2025-10-15T09:47:56.967296,-1465
2025-10-15T09:47:56.968027,-709
2025-10-15T09:47:56.968707,-59
2025-10-15T09:47:56.970250,-1410
2025-10-15T09:47:57.000761,-1785
2025-10-15T09:47:57.001844,-520
2025-10-15T09:47:57.002685,-542
2025-10-15T09:47:57.003704,-1515
2025-10-15T09:47:57.005199,-1414
2025-10-15T09:47:57.006273,-1869
2025-10-15T09:47:57.007241,-2048
2025-10-15T09:47:57.008359,-1676
2025-10-15T09:47:57.009303,84
2025-10-15T09:47:57.009931,-11
2025-10-15T09:47:57.010511,-67
2025-10-15T09:47:57.011298,616
2025-10-15T09:47:57.012078,312
2025-10-15T09:47:57.012540,-947
2025-10-15T09:47:57.013060,-874
2025-10-15T09:47:57.013585,-1123
2025-10-15T09:47:57.014132,-856
2025-10-15T09:47:57.014672,1637
2025-10-15T09:47:57.015216,2047
2025-10-15T09:47:57.029545,1654
